City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Mbandaka,CD,2022-07-13 23:08:18,0.0487,18.2603,73.74,68,80,80
145,Ternuvate,UA,2022-07-13 23:08:18,47.8305,36.1276,60.8,61,91,91
146,Kavaratti,IN,2022-07-13 23:08:19,10.5669,72.642,81.36,80,100,100
147,Guerrero Negro,MX,2022-07-13 23:08:19,27.9769,-114.0611,73.38,62,21,21
148,Mianyang,CN,2022-07-13 23:08:20,31.4593,104.7542,75.85,94,100,100
149,Salalah,OM,2022-07-13 23:03:36,17.0151,54.0924,78.03,84,100,100
150,Bambous Virieux,MU,2022-07-13 23:08:20,-20.3428,57.7575,66.45,88,75,75
151,Manosque,FR,2022-07-13 23:08:21,43.8288,5.7869,69.15,71,13,13
152,Sao Joao Da Barra,BR,2022-07-13 23:03:48,-21.6403,-41.0511,69.66,94,22,22
153,Hofn,IS,2022-07-13 23:08:21,64.2539,-15.2082,50.72,83,46,46
154,San Patricio,US,2022-07-13 23:08:22,28.017,-97.5169,95.72,41,15,15
155,Saint-Pierre,RE,2022-07-13 23:08:22,-21.3393,55.4781,67.91,78,75,75
156,Upernavik,GL,2022-07-13 23:08:23,72.7868,-56.1549,41.4,87,21,21
157,Puerto Ayora,EC,2022-07-13 23:08:23,-0.7393,-90.3518,70.56,93,44,44
158,Leo,BF,2022-07-13 23:08:24,11.1,-2.1,77.58,73,72,72
159,Khatanga,RU,2022-07-13 23:08:24,71.9667,102.5,43.74,83,100,100
160,Sao Filipe,CV,2022-07-13 23:08:24,14.8961,-24.4956,75.22,78,38,38
161,Shenjiamen,CN,2022-07-13 23:08:25,29.9576,122.298,78.98,85,100,100
162,Quthing,LS,2022-07-13 23:08:25,-30.4,27.7003,42.94,47,0,0
163,Bonthe,SL,2022-07-13 23:08:26,7.5264,-12.505,76.01,89,95,95
164,Kautokeino,NO,2022-07-13 23:08:26,69.0125,23.0412,59.2,84,100,100
165,Flin Flon,CA,2022-07-13 23:08:27,54.7682,-101.865,86.2,33,0,0
166,Saldanha,ZA,2022-07-13 23:08:27,-33.0117,17.9442,57.25,91,100,100
167,Balikpapan,ID,2022-07-13 23:05:47,-1.2675,116.8289,76.19,100,75,75
168,Nikolsk,RU,2022-07-13 23:08:28,53.7189,46.0712,62.76,99,100,100
169,Gladstone,AU,2022-07-13 23:08:28,-23.85,151.25,53.53,50,0,0
170,Caconda,AO,2022-07-13 23:08:29,-13.7333,15.0667,54.27,41,2,2
171,Masindi,UG,2022-07-13 23:08:29,1.6744,31.715,64.31,67,88,88
172,Codrington,AU,2022-07-13 23:08:29,-38.2667,141.9667,46.85,87,42,42
173,Gizo,SB,2022-07-13 23:08:30,-8.103,156.8419,83.7,71,14,14
174,Pyay,MM,2022-07-13 23:08:30,18.8167,95.2167,75.69,95,100,100
175,Paamiut,GL,2022-07-13 23:09:31,61.994,-49.6678,42.71,85,92,92
176,Novo Aripuana,BR,2022-07-13 23:09:31,-5.1206,-60.3797,80.85,58,38,38
177,Yenagoa,NG,2022-07-13 23:09:31,4.9247,6.2642,74.16,94,99,99
178,Andijon,UZ,2022-07-13 23:09:32,40.7821,72.3442,72.68,32,1,1
179,Catia La Mar,VE,2022-07-13 23:09:32,10.6038,-67.0303,82.6,83,20,20
180,Waspan,NI,2022-07-13 23:09:33,14.7419,-83.9717,78.82,89,87,87
181,North Mankato,US,2022-07-13 23:09:33,44.1733,-94.0339,82.63,58,0,0
182,Norman Wells,CA,2022-07-13 23:09:34,65.282,-126.8329,60.91,78,100,100
183,Muisne,EC,2022-07-13 23:09:34,0.6,-80.0333,75.09,85,96,96
184,Millet,CA,2022-07-13 23:09:35,53.1001,-113.4687,57.31,77,57,57
185,Bagra,IN,2022-07-13 23:09:35,23.7333,86.3167,80.83,81,35,35
186,Sao Miguel,BR,2022-07-13 23:09:36,-5.4667,-35.3667,77.77,87,48,48
187,Tiksi,RU,2022-07-13 23:08:41,71.6872,128.8694,37.62,94,99,99
188,Wuhu,CN,2022-07-13 23:09:36,31.3366,118.3755,85.21,73,88,88
189,Poso,ID,2022-07-13 23:09:37,-1.3959,120.7524,76.35,87,94,94
190,Rameshki,RU,2022-07-13 23:09:37,57.3439,36.0453,58.24,78,55,55
191,Qinzhou,CN,2022-07-13 23:09:38,21.95,108.6167,79.03,92,7,7
192,Matara,LK,2022-07-13 23:09:38,5.9485,80.5353,78.49,84,33,33
193,Ketou,BJ,2022-07-13 23:09:39,7.3633,2.5998,72.25,95,74,74
194,Mapiripan,CO,2022-07-13 23:09:39,2.8892,-72.1256,73.11,95,97,97
195,Chokurdakh,RU,2022-07-13 23:09:39,70.6333,147.9167,49.26,56,48,48
196,Pandan,PH,2022-07-13 23:09:40,14.0453,124.1694,82.63,81,86,86
197,Cidreira,BR,2022-07-13 23:09:40,-30.1811,-50.2056,57.27,77,0,0
198,Ribeira Grande,PT,2022-07-13 23:09:41,38.5167,-28.7,73.8,73,40,40
199,Shingu,JP,2022-07-13 23:09:41,33.7333,135.9833,77.83,82,100,100
200,Kaiu,EE,2022-07-13 23:09:41,59.0129,25.0551,60.39,98,100,100
201,Tual,ID,2022-07-13 23:09:42,-5.6667,132.75,79.38,81,87,87
202,Bobo Dioulasso,BF,2022-07-13 23:09:43,11.1771,-4.2979,79.83,61,84,84
203,Vao,NC,2022-07-13 23:09:44,-22.6667,167.4833,72.81,74,93,93
204,Benalla,AU,2022-07-13 23:09:44,-36.55,145.9833,41.31,78,2,2
205,Catamarca,AR,2022-07-13 23:09:45,-28.4696,-65.7852,56.77,39,0,0
206,Sur,OM,2022-07-13 23:09:45,22.5667,59.5289,90.43,62,98,98
207,Miri,MY,2022-07-13 23:09:45,4.4148,114.0089,74.37,91,100,100
208,Loiza,PR,2022-07-13 23:09:46,18.4313,-65.8802,83.07,78,40,40
209,Torbay,CA,2022-07-13 23:05:32,47.6666,-52.7314,67.87,72,19,19
210,Mao,ES,2022-07-13 23:09:47,39.8885,4.2658,77.56,73,0,0
211,Praia Da Vitoria,PT,2022-07-13 23:09:47,38.7333,-27.0667,71.76,100,75,75
212,Ilulissat,GL,2022-07-13 23:09:47,69.2167,-51.1,46.42,81,20,20
213,Riyadh,SA,2022-07-13 23:09:48,24.6877,46.7219,91.54,12,100,100
214,Shelburne,CA,2022-07-13 23:09:48,44.0787,-80.2041,67.77,67,90,90
215,Gotsu,JP,2022-07-13 23:09:49,35.0,132.2167,78.06,84,98,98
216,Trincomalee,LK,2022-07-13 23:09:49,8.5711,81.2335,80.87,73,61,61
217,Katherine,AU,2022-07-13 23:09:50,-14.4667,132.2667,53.92,47,39,39
218,Ust-Ishim,RU,2022-07-13 23:09:50,57.6935,71.1665,57.49,99,42,42
219,Eureka,US,2022-07-13 23:09:50,40.8021,-124.1637,79.66,72,28,28
220,Madang,PG,2022-07-13 23:09:51,-5.2246,145.7966,79.81,85,100,100
221,Mirnyy,RU,2022-07-13 23:09:51,62.5353,113.9611,59.23,58,72,72
222,Dingle,PH,2022-07-13 23:10:52,10.9995,122.6711,78.55,87,28,28
223,Provost,CA,2022-07-13 23:10:52,52.3501,-110.2683,78.01,53,100,100
224,Sao Jose Da Coroa Grande,BR,2022-07-13 23:06:42,-8.8978,-35.1478,75.47,80,36,36
225,Weihai,CN,2022-07-13 23:10:53,37.5017,122.1136,74.16,90,8,8
226,Russell,US,2022-07-13 23:10:53,32.3502,-85.1999,83.48,64,100,100
227,Klaipeda,LT,2022-07-13 23:10:54,55.7172,21.1175,66.25,80,49,49
228,Antofagasta,CL,2022-07-13 23:06:03,-23.65,-70.4,60.08,77,78,78
229,Hay River,CA,2022-07-13 23:10:54,60.8156,-115.7999,60.19,67,76,76
230,Junin,AR,2022-07-13 23:10:07,-34.5838,-60.9433,50.38,51,100,100
231,Karratha,AU,2022-07-13 23:10:55,-20.7377,116.8463,62.55,51,32,32
232,Vila Franca Do Campo,PT,2022-07-13 23:10:56,37.7167,-25.4333,68.2,86,78,78
233,Tarancon,ES,2022-07-13 23:10:56,40.0085,-3.0073,82.31,21,100,100
234,Leningradskiy,RU,2022-07-13 23:10:56,69.3833,178.4167,41.18,73,90,90
235,Ewa Beach,US,2022-07-13 23:10:57,21.3156,-158.0072,89.55,59,0,0
236,Aklavik,CA,2022-07-13 23:08:41,68.2191,-135.0107,45.86,69,97,97
237,San Policarpo,PH,2022-07-13 23:10:58,12.1791,125.5072,78.98,88,96,96
238,Kawalu,ID,2022-07-13 23:10:58,-7.3817,108.2082,71.19,98,95,95
239,Oussouye,SN,2022-07-13 23:10:58,12.485,-16.5469,79.0,87,96,96
240,Pacific Grove,US,2022-07-13 23:10:59,36.6177,-121.9166,77.38,76,40,40
241,Tadine,NC,2022-07-13 23:10:59,-21.55,167.8833,75.43,86,94,94
242,Iqaluit,CA,2022-07-13 23:11:00,63.7506,-68.5145,41.7,81,88,88
243,Zyryanskoye,RU,2022-07-13 23:11:00,56.8306,86.6258,51.71,71,100,100
244,Balad,IQ,2022-07-13 23:07:16,34.0164,44.1453,91.69,19,0,0
245,Corinto,GR,2022-07-13 23:11:01,37.9407,22.9573,76.41,47,52,52
246,Lebu,CL,2022-07-13 23:11:02,-37.6167,-73.65,44.28,77,91,91
247,Bengkulu,ID,2022-07-13 23:11:02,-3.8004,102.2655,75.79,90,97,97
248,Avera,US,2022-07-13 23:11:03,33.194,-82.5271,80.11,69,96,96
249,Puerto Rondon,CO,2022-07-13 23:11:03,6.2805,-71.1,76.55,89,79,79
250,Lafiagi,NG,2022-07-13 23:11:04,8.8667,5.4167,74.52,91,94,94
251,Bulancak,TR,2022-07-13 23:11:04,40.9372,38.2291,71.42,73,75,75
252,Severnyy,RU,2022-07-13 23:11:05,50.677,36.5532,57.24,94,75,75
253,Canutama,BR,2022-07-13 23:11:05,-6.5339,-64.3831,82.89,58,91,91
254,Sao Miguel Do Araguaia,BR,2022-07-13 23:11:06,-13.275,-50.1628,77.27,30,8,8
255,Brae,GB,2022-07-13 23:11:06,60.3964,-1.353,51.12,88,100,100
256,Sayat,TM,2022-07-13 23:11:06,38.7839,63.8803,81.23,24,0,0
257,Vila Velha,BR,2022-07-13 23:11:07,-20.3297,-40.2925,73.35,85,40,40
258,Galveston,US,2022-07-13 23:11:07,29.3669,-94.9669,94.08,69,0,0
259,Urusha,RU,2022-07-13 23:11:08,54.05,122.9,63.86,94,100,100
260,Pangnirtung,CA,2022-07-13 23:11:08,66.1451,-65.7125,47.21,81,96,96
261,Homer,US,2022-07-13 23:09:08,59.6425,-151.5483,62.76,79,75,75
262,Port-Gentil,GA,2022-07-13 23:11:09,-0.7193,8.7815,73.47,79,27,27
263,Deep River,CA,2022-07-13 23:11:10,46.1001,-77.4995,69.94,63,100,100
264,Puqi,CN,2022-07-13 23:11:10,29.7167,113.8833,82.94,77,100,100
265,Harper,LR,2022-07-13 23:11:11,4.375,-7.7169,75.94,81,100,100
266,Hambantota,LK,2022-07-13 23:11:11,6.1241,81.1185,78.78,80,50,50
267,Bhan,PK,2022-07-13 23:11:12,26.5583,67.7214,91.96,62,18,18
268,Mentougou,CN,2022-07-13 23:12:12,39.9392,116.0917,77.94,42,0,0
269,Kolokani,ML,2022-07-13 23:07:24,13.5728,-8.0339,84.56,54,65,65
270,Mae Hong Son,TH,2022-07-13 23:12:13,19.3003,97.9685,73.6,99,98,98
271,Deputatskiy,RU,2022-07-13 23:12:13,69.3,139.9,47.55,74,97,97
272,Preston,GB,2022-07-13 23:12:14,53.7667,-2.7167,58.66,87,13,13
273,Matadi,CD,2022-07-13 23:12:14,-5.8167,13.45,69.48,86,3,3
274,Winnemucca,US,2022-07-13 23:08:54,40.973,-117.7357,98.65,10,0,0
275,Katsuura,JP,2022-07-13 23:12:15,35.1333,140.3,75.51,91,100,100
276,Frontera,MX,2022-07-13 23:12:15,26.9333,-101.45,100.33,23,75,75
277,Kaeo,NZ,2022-07-13 23:12:16,-35.1,173.7833,57.33,97,100,100
278,Kingaroy,AU,2022-07-13 23:12:16,-26.5333,151.8333,48.04,63,0,0
279,Ambulu,ID,2022-07-13 23:12:16,-8.345,113.6058,74.08,90,99,99
280,Tocopilla,CL,2022-07-13 23:12:17,-22.092,-70.1979,59.0,73,94,94
281,Sobolevo,RU,2022-07-13 23:12:17,54.4299,31.8996,52.68,97,100,100
282,Esperance,AU,2022-07-13 23:12:18,-33.8667,121.9,59.97,42,65,65
283,Jeremie,HT,2022-07-13 23:12:18,18.65,-74.1167,82.83,75,6,6
284,Denpasar,ID,2022-07-13 23:11:33,-8.65,115.2167,76.71,88,40,40
285,Isangel,VU,2022-07-13 23:10:02,-19.55,169.2667,79.83,82,8,8
286,Sibolga,ID,2022-07-13 23:12:19,1.7427,98.7792,76.91,91,98,98
287,Richards Bay,ZA,2022-07-13 23:12:20,-28.783,32.0377,61.32,44,0,0
288,Saint-Joseph,RE,2022-07-13 23:12:20,-21.3667,55.6167,63.21,74,19,19
289,Hovd,MN,2022-07-13 23:12:21,48.0056,91.6419,54.12,74,1,1
290,Vanavara,RU,2022-07-13 23:12:21,60.34,102.2797,54.0,66,100,100
291,Paragominas,BR,2022-07-13 23:12:21,-2.9667,-47.4833,77.04,80,72,72
292,Namuac,PH,2022-07-13 23:12:22,18.6109,121.1657,81.28,71,98,98
293,Kirovskiy,RU,2022-07-13 23:12:22,45.0917,133.5136,70.84,82,100,100
294,Ishigaki,JP,2022-07-13 23:12:23,24.3448,124.1572,85.44,81,100,100
